
Param1,Param2,Power,Gamma Point,Harmonic Number,A1 Real,A1 Imaginary,B1 Real,B1 Imaginary,A2 Real,A2 Imaginary,B2 Real,B2 Imaginary,V1,I1,V2,I2,,,,,,,,,,,,,,,,
0.1,6,-24,1,1,0.089231,5.98E-09,-0.023554,-0.052869,0.00076807,-8.23E-05,0.023412,0.21968,-0.3,7.72E-09,3,0.039288,,,,,,,,,,,,,,,,
0.1,6,-24,1,2,5.4E-10,1.11E-10,0.0021425,0.0032538,5.63E-05,-7.94E-05,0.011353,0.0080535,-0.3,7.72E-09,3,0.039288,,,,,,,,,,,,,,,,
0.1,6,-24,1,3,-6.15E-11,1.31E-10,-0.00096264,0.00034731,1.65E-05,3.16E-05,-0.0030114,0.0015682,-0.3,7.72E-09,3,0.039288,,,,,,,,,,,,,,,,
0.1,6,-23,1,1,0.10012,6.57E-09,-0.025814,-0.060193,0.00084434,-8.93E-05,0.025393,0.2415,-0.3,1.84E-08,3,0.041129,,,,,,,,,,,,,,,,
0.1,6,-23,1,2,7.1E-10,1.42E-10,0.0028372,0.0042616,7.34E-05,-0.00010474,0.014973,0.010508,-0.3,1.84E-08,3,0.041129,,,,,,,,,,,,,,,,
0.1,6,-23,1,3,-8.28E-11,1.96E-10,-0.0013957,0.00056824,2.61E-05,4.55E-05,-0.0043375,0.0024864,-0.3,1.84E-08,3,0.041129,,,,,,,,,,,,,,,,
0.1,6,-22,1,1,0.11233,7.17E-09,-0.028144,-0.068772,0.00092325,-9.53E-05,0.02709,0.26407,-0.3,3.45E-08,3,0.043395,,,,,,,,,,,,,,,,
0.1,6,-22,1,2,9.17E-10,1.87E-10,0.0036532,0.0055238,9.54E-05,-0.00013519,0.019326,0.013651,-0.3,3.45E-08,3,0.043395,,,,,,,,,,,,,,,,
0.1,6,-22,1,3,-1.01E-10,2.79E-10,-0.0018994,0.00088572,3.94E-05,6.14E-05,-0.0058531,0.0037533,-0.3,3.45E-08,3,0.043395,,,,,,,,,,,,,,,,
0.1,6,-21,1,1,0.12604,7.77E-09,-0.030562,-0.07881,0.0010047,-9.95E-05,0.028273,0.28736,-0.3,5.66E-08,3,0.045936,,,,,,,,,,,,,,,,
0.1,6,-21,1,2,1.14E-09,2.6E-10,0.0044099,0.0070101,0.00012313,-0.0001663,0.023773,0.017618,-0.3,5.66E-08,3,0.045936,,,,,,,,,,,,,,,,
0.1,6,-21,1,3,-1.07E-10,3.68E-10,-0.0023766,0.0013067,5.61E-05,7.59E-05,-0.0072359,0.0053488,-0.3,5.66E-08,3,0.045936,,,,,,,,,,,,,,,,
0.1,6,-20,1,1,0.14142,8.39E-09,-0.033003,-0.090699,0.0010855,-1E-04,0.028405,0.31046,-0.3,8.59E-08,3,0.04859,,,,,,,,,,,,,,,,
0.1,6,-20,1,2,1.36E-09,3.79E-10,0.0049053,0.0087064,0.00015811,-0.00019323,0.027622,0.022623,-0.3,8.59E-08,3,0.04859,,,,,,,,,,,,,,,,
0.1,6,-20,1,3,-8.35E-11,4.72E-10,-0.0027745,0.0019371,7.97E-05,8.67E-05,-0.008265,0.0075976,-0.3,8.59E-08,3,0.04859,,,,,,,,,,,,,,,,
0.1,6,-19,1,1,0.15868,8.9E-09,-0.035298,-0.10487,0.0011611,-9.59E-05,0.027237,0.3321,-0.3,1.24E-07,3,0.051163,,,,,,,,,,,,,,,,
0.1,6,-19,1,2,1.55E-09,5.64E-10,0.0049123,0.010553,0.00020103,-0.00021016,0.03004,0.028761,-0.3,1.24E-07,3,0.051163,,,,,,,,,,,,,,,,
0.1,6,-19,1,3,-2.89E-11,6.07E-10,-0.0031803,0.00289,0.00011448,9.62E-05,-0.0091773,0.01091,-0.3,1.24E-07,3,0.051163,,,,,,,,,,,,,,,,
0.1,6,-18,1,1,0.17804,9.38E-09,-0.03726,-0.12167,0.0012283,-8.81E-05,0.024987,0.35133,-0.3,1.83E-07,3,0.053514,,,,,,,,,,,,,,,,
0.1,6,-18,1,2,1.67E-09,7.97E-10,0.0043558,0.012331,0.00024746,-0.00021334,0.030493,0.035401,-0.3,1.83E-07,3,0.053514,,,,,,,,,,,,,,,,
0.1,6,-18,1,3,3.71E-11,7.97E-10,-0.0037948,0.004175,0.00016166,0.00011143,-0.010629,0.015408,-0.3,1.83E-07,3,0.053514,,,,,,,,,,,,,,,,
0.1,6,-24,2,1,0.089231,6.21E-09,-0.027671,-0.054806,-0.024152,-0.01074,0.027409,0.23911,-0.3,6.05E-09,3,0.038878,,,,,,,,,,,,,,,,
0.1,6,-24,2,2,5.1E-10,5.65E-11,0.0022686,0.002832,4.53E-05,-7.85E-05,0.011226,0.0064858,-0.3,6.05E-09,3,0.038878,,,,,,,,,,,,,,,,
0.1,6,-24,2,3,-3.46E-11,1.29E-10,-0.00081693,0.00047046,2E-05,2.6E-05,-0.0024778,0.0019086,-0.3,6.05E-09,3,0.038878,,,,,,,,,,,,,,,,
0.1,6,-23,2,1,0.10012,6.82E-09,-0.030413,-0.062339,-0.026538,-0.011883,0.029473,0.26312,-0.3,1.55E-08,3,0.040575,,,,,,,,,,,,,,,,
0.1,6,-23,2,2,6.67E-10,7.61E-11,0.0029596,0.0037186,5.97E-05,-0.00010266,0.014676,0.0085409,-0.3,1.55E-08,3,0.040575,,,,,,,,,,,,,,,,
0.1,6,-23,2,3,-4.2E-11,1.94E-10,-0.0011811,0.00076073,3.17E-05,3.72E-05,-0.0035468,0.0030243,-0.3,1.55E-08,3,0.040575,,,,,,,,,,,,,,,,
0.1,6,-22,2,1,0.11233,7.43E-09,-0.033213,-0.071232,-0.028935,-0.013108,0.030949,0.28758,-0.3,3.08E-08,3,0.042684,,,,,,,,,,,,,,,,
0.1,6,-22,2,2,8.64E-10,1.1E-10,0.0037671,0.004871,7.92E-05,-0.00013191,0.018859,0.01133,-0.3,3.08E-08,3,0.042684,,,,,,,,,,,,,,,,
0.1,6,-22,2,3,-4.15E-11,2.84E-10,-0.0016284,0.001212,4.94E-05,5.05E-05,-0.0048177,0.0047061,-0.3,3.08E-08,3,0.042684,,,,,,,,,,,,,,,,
0.1,6,-21,2,1,0.12604,8.05E-09,-0.036057,-0.081731,-0.031297,-0.014427,0.031516,0.31221,-0.3,5.24E-08,3,0.045026,,,,,,,,,,,,,,,,
0.1,6,-21,2,2,1.07E-09,1.81E-10,0.0044506,0.0062549,0.00010518,-0.00016039,0.022929,0.015051,-0.3,5.24E-08,3,0.045026,,,,,,,,,,,,,,,,
0.1,6,-21,2,3,-2.25E-11,3.91E-10,-0.0020682,0.0018444,7.32E-05,6.27E-05,-0.0059838,0.0069802,-0.3,5.24E-08,3,0.045026,,,,,,,,,,,,,,,,
0.1,6,-20,2,1,0.14142,8.59E-09,-0.03883,-0.094239,-0.033489,-0.01583,0.030644,0.33589,-0.3,8.16E-08,3,0.047415,,,,,,,,,,,,,,,,
0.1,6,-20,2,2,1.26E-09,3.03E-10,0.0047768,0.0078064,0.00013833,-0.00018207,0.026027,0.019793,-0.3,8.16E-08,3,0.047415,,,,,,,,,,,,,,,,
0.1,6,-20,2,3,2.79E-11,5.29E-10,-0.0025044,0.0027826,0.00010763,7.34E-05,-0.0070024,0.010258,-0.3,8.16E-08,3,0.047415,,,,,,,,,,,,,,,,
0.1,6,-19,2,1,0.15868,9.09E-09,-0.041322,-0.10908,-0.035411,-0.017239,0.028481,0.35748,-0.3,1.21E-07,3,0.049705,,,,,,,,,,,,,,,,
0.1,6,-19,2,2,1.4E-09,4.86E-10,0.004553,0.0094107,0.00017771,-0.00019142,0.027363,0.025424,-0.3,1.21E-07,3,0.049705,,,,,,,,,,,,,,,,
0.1,6,-19,2,3,9.62E-11,7.16E-10,-0.0031012,0.0040581,0.0001544,8.81E-05,-0.0084001,0.014716,-0.3,1.21E-07,3,0.049705,,,,,,,,,,,,,,,,
0.1,6,-18,2,1,0.17804,9.5E-09,-0.04339,-0.1265,-0.03703,-0.018589,0.025371,0.37643,-0.3,1.91E-07,3,0.051815,,,,,,,,,,,,,,,,
0.1,6,-18,2,2,1.47E-09,7.03E-10,0.003814,0.010845,0.00021781,-0.00018724,0.026762,0.031159,-0.3,1.91E-07,3,0.051815,,,,,,,,,,,,,,,,
0.1,6,-18,2,3,1.53E-10,9.61E-10,-0.0040408,0.0055703,0.00021093,0.00011342,-0.01082,0.020104,-0.3,1.91E-07,3,0.051815,,,,,,,,,,,,,,,,
0.1,6,-24,3,1,0.089231,5.52E-09,-0.023328,-0.057343,-0.00035781,-0.025955,0.0087753,0.22986,-0.3,1.02E-08,3,0.03978,,,,,,,,,,,,,,,,
0.1,6,-24,3,2,5.89E-10,6.22E-11,0.0026369,0.0032572,5.19E-05,-9.1E-05,0.013003,0.0074235,-0.3,1.02E-08,3,0.03978,,,,,,,,,,,,,,,,
0.1,6,-24,3,3,-5.02E-11,1.56E-10,-0.0010298,0.00052796,2.3E-05,3.31E-05,-0.0031524,0.0021919,-0.3,1.02E-08,3,0.03978,,,,,,,,,,,,,,,,
0.1,6,-23,3,1,0.10012,6.05E-09,-0.025538,-0.065179,-0.00033401,-0.028489,0.0091118,0.25232,-0.3,2.22E-08,3,0.041772,,,,,,,,,,,,,,,,
0.1,6,-23,3,2,7.72E-10,7.53E-11,0.0034869,0.004239,6.7E-05,-0.00011965,0.017107,0.0095895,-0.3,2.22E-08,3,0.041772,,,,,,,,,,,,,,,,
0.1,6,-23,3,3,-6.67E-11,2.3E-10,-0.0014855,0.00081925,3.52E-05,4.74E-05,-0.0045216,0.0033514,-0.3,2.22E-08,3,0.041772,,,,,,,,,,,,,,,,
0.1,6,-22,3,1,0.11233,6.6E-09,-0.027835,-0.074237,-0.00027712,-0.031141,0.0091804,0.27582,-0.3,3.96E-08,3,0.044187,,,,,,,,,,,,,,,,
0.1,6,-22,3,2,9.88E-10,9.5E-11,0.0044641,0.0054164,8.55E-05,-0.00015309,0.021887,0.012242,-0.3,3.96E-08,3,0.044187,,,,,,,,,,,,,,,,
